Serial Num,Movie Name,Movie Genre,Movie Rating,,,,,,,,,
1,100 Rifles,"Adventure/Romance",3,,,,,,,,,
2,Shopping,"Action/Thriller",2.7,,,,,,,,,
3,City Hall,"Drama/Thriller",3.1,,,,,,,,,
4,Bottle Rocket,"Adventure/Comedy/Crime/Romance",3.5,,,,,,,,,
5,Mr. Wrong,Comedy,1.9,,,,,,,,,
6,Unforgettable,"Mystery/Sci-Fi/Thriller",2.5,,,,,,,,,
7,Happy Gilmore,Comedy,3.5,,,,,,,,,
8,The Bridges of Madison County,"Drama/Romance",3.8,,,,,,,,,
9,Nobody Loves Me,"Comedy/Drama",3.6,,,,,,,,,
10,Muppet Treasure Island,"Adventure/Comedy",3.4,,,,,,,,,
11,Catwalk ,Documentary,3.1,,,,,,,,,
12,Headless Body in Topless Bar,"Comedy/Drama/Thriller",2.4,,,,,,,,,
13,Braveheart,"Action/Drama",4.2,,,,,,,,,
14,Taxi Driver,"Crime/Drama/Thriller",4.15,,,,,,,,,
15,Rumble in the Bronx,"Action/Adventure/Comedy/Crime",3.3,,,,,,,,,
16,Before and After,"Drama/Mystery",3.05,,,,,,,,,
17,Margaret's Museum,Drama,3.6,,,,,,,,,
18,Anne Frank Remembered,Documentary,4,,,,,,,,,
19,The Young Poisoner's Handbook,"Crime/Drama",3.5,,,,,,,,,
20,If Lucy Fell,"Comedy/Romance",2.4,,,,,,,,,
21,Jane Eyre,"Drama/Romance",3.7,,7.4,,,,,,,
22,Secretariat,"Biography/Drama",3.6,,7.2,,,,,,,
23,The Social Network,"Biography/Drama",3.85,,7.7,,,,,,,
24,The Town,"Crime/Drama/Thriller",3.8,,7.6,,,,,,,
25,Tamara Drewe,"Comedy/Drama/Romance",3.1,,6.2,,,,,,,
26,Green Zone,"Action/Drama/Thriller",3.4,,6.8,,,,,,,
27,Shutter Island,"Mystery/Thriller",4.05,,8.1,,,,,,,
28,The Ghost Writer,"Drama/Mystery/Thriller",3.6,,7.2,,,,,,,
29,The Runaways,"Biography/Drama",3.3,,6.6,,,,,,,
30,Winter's Bone,Drama,3.6,,7.2,,,,,,,
31,The Blind Side,"Biography/Drama",3.85,,7.7,,,,,,,
32,A Single Man,"Drama/Romance",3.8,,7.6,,,,,,,
33,Crazy Heart,"Drama/Romance",3.65,,7.3,,,,,,,
34,Up in the Air,"Drama/Romance",3.7,,7.4,,,,,,,
35,The Last Station,"Biography/Drama/Romance",3.5,,7,,,,,,,
36,The Soloist,"Biography/Drama",3.35,,6.7,,,,,,,
37,Like Dandelion Dust,Drama,3.55,,7.1,,,,,,,
38,Public Enemies,"Biography/Crime/Drama/Romance",3.5,,7,,,,,,,
39,Confessions of a Shopaholic,"Comedy/Family/Romance",2.95,,5.9,,,,,,,
40,Inkheart,"Adventure/Family/Fantasy",3.05,,6.1,,,,,,,
41,Amateur,"Crime/Drama/Thriller",2.9,,,,,,,,,
42,Apollo 13,"Adventure/Drama",3.8,,,,,,,,,
43,Rob Roy,"Action/Drama/Romance",3.4,,,,,,,,,
44,The Addiction,"Drama/Horror",3.2,,,,,,,,,
45,Batman Forever,"Action/Adventure/Comedy/Crime",2.7,,,,,,,,,
46,Beauty of the Day,Drama,3.9,,,,,,,,,
